key	file_count	files_sample
premium_8_header	2	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
premium_8_music	2	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
premium_8_offer	2	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
premium_8_offer_max_lines	2	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
premium_8_product_id	2	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
premium_8_related_product_id	2	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
premium_8_title	2	ViewControllers/PremiumUpgrade/Variants/v18/PremiumConfiguration_v18.swift;ViewControllers/PremiumUpgrade/Variants/v8/PremiumConfiguration_v8.swift
premium_offer_button	1	ViewControllers/PremiumUpgrade/Offer/PremiumOfferConfiguration.swift
premium_offer_enabled	1	ViewControllers/PremiumUpgrade/PremiumUpgradeViewController.swift
premium_offer_items	1	ViewControllers/PremiumUpgrade/Offer/PremiumOfferConfiguration.swift
premium_offer_offer	1	ViewControllers/PremiumUpgrade/Offer/PremiumOfferConfiguration.swift
premium_offer_offer_max_lines	1	ViewControllers/PremiumUpgrade/Offer/PremiumOfferConfiguration.swift
premium_offer_product_id	1	ViewControllers/PremiumUpgrade/Offer/PremiumOfferConfiguration.swift
premium_offer_related_product_id	1	ViewControllers/PremiumUpgrade/Offer/PremiumOfferConfiguration.swift
premium_offer_title	1	ViewControllers/PremiumUpgrade/Offer/PremiumOfferConfiguration.swift
premium_screen_variant	1	ViewControllers/PremiumUpgrade/PremiumUpgradeViewController.swift
premium_screen_variant_ipad	0	
profile_2_list_template	0	
profile_list_template	0	
profile_list_template_key	1	Others/CompositeList/CompositeListTemplateSourceExt.swift
profile_ua_list_template	1	Others/CompositeList/CompositeListTemplateSourceExt.swift
rate_app_config	1	Models/Common/RateAppConfig.swift
rate_config	1	Models/Common/RateConfig.swift
remote_config_expiration_duration	1	Others/RemoteConfig/RemoteConfigHelper.swift
sandbox	2	API/APIClientRequestInterceptor.swift;API/Methods/Standard/APIClient+Subscriptions.swift
scene_player_config	1	Models/ScenePlayerConfig.swift
scene_playlist_ids	1	ViewControllers/SoundStudio/ScenesCompositeListViewController.swift
scenes_default	1	AudioScenes/AudioScenesStore.swift
scenes_popular	1	ViewControllers/SoundStudio/ScenesSearch/ScenesSearchViewController.swift
scenes_search_suggestions	1	ViewControllers/SoundStudio/ScenesSearch/ScenesSearchViewController.swift
search_suggestions	1	ViewControllers/LibraryViewController.swift
search_suggestions_2	0	
settings_ua_content_enabled	1	ViewControllers/Profile/ProfileViewControllerSectionsProvider.swift
share_message	1	AppConstants.swift
share_with_premium_message	1	AppConstants.swift
sleep_scenes_playlist_id	0	
sos_option_1_video	1	ViewControllers/SOS/SOSViewController.swift
sos_option_2_video	1	ViewControllers/SOS/SOSViewController.swift
sounds_suggestions	1	ViewControllers/SoundStudio/SoundsList/SoundsListViewController.swift
strings	1	Others/Services/LocalizationService.swift
subscriptions_product_ids	1	Others/Services/SubscriptionManager.swift
